time,cpu%,mem%,down,Label
1,100.0,90.7,0.021484375,mining
2,100.0,90.7,0.005859375,mining
3,100.0,90.6,0.030664063,mining
4,100.0,90.6,0.0,mining
5,100.0,90.4,0.018945313,mining
6,100.0,90.5,0.01171875,mining
7,100.0,90.5,0.0,mining
8,100.0,90.8,0.0,mining
9,100.0,90.9,0.0,mining
10,100.0,91.0,0.0,mining
11,100.0,90.9,0.011328125,mining
12,100.0,90.9,0.059960938,mining
13,100.0,90.5,0.118164063,mining
14,100.0,90.5,0.073632813,mining
15,100.0,90.5,0.061523438,mining
16,100.0,90.7,0.166210938,mining
17,100.0,90.7,0.01171875,mining
18,100.0,90.7,0.01953125,mining
19,100.0,90.8,0.005859375,mining
20,100.0,90.8,0.1125,mining
21,100.0,90.9,0.461132813,mining
22,100.0,90.9,0.68125,mining
23,100.0,90.6,16.02548828,mining
24,100.0,89.9,14.60703125,mining
25,100.0,89.8,0.0,mining
26,100.0,89.8,0.047265625,mining
27,100.0,89.9,0.005859375,mining
28,100.0,89.9,0.005859375,mining
29,100.0,90.1,0.0,mining
30,100.0,89.6,0.0,mining
31,100.0,89.4,0.030664063,mining
32,100.0,89.4,0.133203125,mining
33,100.0,89.5,0.0,mining
34,100.0,89.6,0.0,mining
35,100.0,89.7,0.0,mining
36,100.0,89.8,0.0,mining
37,100.0,89.9,0.0,mining
38,100.0,90.0,0.005859375,mining
39,100.0,90.1,0.0,mining
40,100.0,90.1,0.005859375,mining
41,100.0,90.2,0.0,mining
42,100.0,90.2,0.0,mining
43,100.0,90.2,0.005859375,mining
44,100.0,90.2,0.041992188,mining
45,100.0,90.2,0.0,mining
46,100.0,90.2,0.005859375,mining
47,100.0,90.1,0.01171875,mining
48,100.0,89.9,0.017675781,mining
49,100.0,89.9,0.009765625,mining
50,100.0,90.0,0.0,mining
51,100.0,89.7,0.01171875,mining
52,100.0,89.8,0.0,mining
53,100.0,89.9,0.0,mining
54,100.0,89.1,0.005859375,mining
55,100.0,89.1,0.177734375,mining
56,100.0,89.1,1.127050781,mining
57,100.0,89.1,0.162011719,mining
58,100.0,89.2,0.223828125,mining
59,100.0,89.2,0.08046875,mining
60,100.0,89.2,0.640136719,mining
61,100.0,89.3,0.108691406,mining
62,100.0,89.3,0.0,mining
63,100.0,89.3,0.01171875,mining
64,100.0,89.3,0.04765625,mining
65,100.0,89.4,0.030078125,mining
66,100.0,89.4,0.054296875,mining
67,100.0,89.4,0.005859375,mining
68,100.0,89.4,0.01171875,mining
69,100.0,89.5,0.0,mining
70,100.0,89.5,0.0,mining
71,100.0,89.5,0.0,mining
72,100.0,89.7,0.005859375,mining
73,100.0,89.8,0.0,mining
74,100.0,89.8,0.064453125,mining
75,100.0,89.8,0.005859375,mining
76,100.0,89.9,0.0,mining
77,100.0,89.9,0.0234375,mining
78,100.0,90.0,6.723535156,mining
79,100.0,90.0,6.359570313,mining
80,100.0,90.1,3.322851563,mining
81,100.0,90.1,0.326660156,mining
82,100.0,90.0,1.588378906,mining
83,100.0,90.0,5.374609375,mining
84,100.0,89.8,0.027539063,mining
85,100.0,89.7,0.0,mining
86,100.0,89.7,3.467578125,mining
87,100.0,89.7,0.041015625,mining
88,100.0,89.8,10.74443359,mining
89,100.0,89.8,31.76875,mining
90,100.0,89.7,8.489746094,mining
91,100.0,89.8,6.244433594,mining
92,100.0,89.9,0.11015625,mining
93,100.0,90.1,2.1828125,mining
94,100.0,90.2,2.172460938,mining
95,100.0,90.1,2.287109375,mining
96,100.0,90.1,0.258496094,mining
97,100.0,90.1,1.997851563,mining
98,100.0,90.1,10.78251953,mining
99,100.0,90.0,39.42177734,mining
100,100.0,90.1,0.06171875,mining
101,100.0,90.1,0.05,mining
102,100.0,90.0,0.105175781,mining
103,100.0,89.6,0.0,mining
104,100.0,89.6,0.0,mining
105,100.0,89.7,0.0296875,mining
106,100.0,89.7,0.084960938,mining
107,100.0,89.8,0.179003906,mining
108,100.0,90.0,0.01171875,mining
109,100.0,90.0,0.0,mining
110,100.0,90.0,0.005859375,mining
111,100.0,90.1,0.034765625,mining
112,100.0,90.1,4.51015625,mining
113,100.0,90.1,3.71171875,mining
114,100.0,89.8,0.005859375,mining
115,100.0,89.8,0.0,mining
116,100.0,90.0,0.01171875,mining
117,100.0,90.0,4.44296875,mining
118,100.0,90.1,0.212109375,mining
119,100.0,90.2,2.262207031,mining
120,100.0,90.0,22.38583984,mining
121,100.0,90.1,6.227636719,mining
122,100.0,90.2,12.92441406,mining
123,100.0,90.2,29.53925781,mining
124,100.0,90.2,19.11816406,mining
125,100.0,90.1,28.45722656,mining
126,100.0,90.1,35.71152344,mining
127,100.0,90.1,30.61933594,mining
128,100.0,90.1,27.16074219,mining
129,100.0,89.9,69.3359375,mining
130,100.0,89.6,12.5984375,mining
131,100.0,89.7,0.017578125,mining
132,100.0,89.5,0.150390625,mining
133,100.0,89.6,0.0,mining
134,100.0,89.7,0.0,mining
135,100.0,89.7,0.017578125,mining
136,100.0,89.8,0.076171875,mining
137,100.0,89.8,0.351757813,mining
138,100.0,89.9,0.008984375,mining
139,100.0,89.9,0.0,mining
140,100.0,90.0,0.005859375,mining
141,100.0,90.1,0.320410156,mining
142,100.0,90.1,0.0,mining
143,100.0,90.1,0.005859375,mining
144,100.0,90.1,0.029296875,mining
145,100.0,90.2,0.0515625,mining
146,100.0,90.1,0.372460938,mining
147,100.0,90.0,0.069921875,mining
148,100.0,90.1,0.154492188,mining
149,100.0,90.1,0.030957031,mining
150,100.0,90.1,2.445898438,mining
151,100.0,90.2,0.985644531,mining
152,100.0,90.2,0.053710938,mining
153,100.0,90.4,0.083691406,mining
154,100.0,90.1,0.242089844,mining
155,100.0,90.3,0.207128906,mining
156,100.0,90.2,0.01171875,mining
157,100.0,89.6,0.104101563,mining
158,100.0,89.7,0.005859375,mining
159,100.0,89.7,0.015625,mining
160,100.0,89.7,0.0,mining
161,100.0,89.8,0.017578125,mining
162,100.0,89.8,0.206152344,mining
163,100.0,89.9,0.032421875,mining
164,100.0,90.1,0.005859375,mining
165,100.0,89.9,0.0,mining
166,100.0,89.9,0.017578125,mining
167,100.0,90.0,0.037890625,mining
168,100.0,90.1,0.114941406,mining
169,100.0,90.2,0.089550781,mining
170,100.0,90.3,1.836621094,mining
171,100.0,90.2,3.94765625,mining
172,100.0,90.3,19.57294922,mining
173,100.0,90.3,22.98623047,mining
174,100.0,90.4,0.005859375,mining
175,100.0,90.4,0.331542969,mining
176,100.0,90.6,0.030078125,mining
177,100.0,90.6,0.0234375,mining
178,100.0,90.7,0.053125,mining
179,100.0,90.8,0.084765625,mining
180,100.0,90.3,0.828710938,mining
181,100.0,89.9,0.0,mining
182,100.0,90.0,4.627441406,mining
183,100.0,90.0,39.73984375,mining
184,100.0,90.1,18.34316406,mining
185,100.0,90.2,0.0,mining
186,100.0,90.3,0.01171875,mining
187,100.0,90.4,0.092480469,mining
188,100.0,90.4,0.163769531,mining
189,100.0,90.3,0.115625,mining
190,100.0,89.9,0.1796875,mining
191,100.0,90.0,0.0,mining
192,100.0,90.0,0.063476563,mining
193,100.0,90.1,17.17128906,mining
194,100.0,90.1,5.11953125,mining
195,100.0,90.2,0.01171875,mining
196,100.0,90.2,0.0,mining
197,100.0,90.3,0.150976563,mining
198,100.0,90.3,0.040234375,mining
199,100.0,90.3,0.0,mining
200,100.0,90.4,0.497949219,mining
201,100.0,90.4,1.061914063,mining
202,100.0,90.4,3.886328125,mining
203,100.0,90.4,0.129199219,mining
204,100.0,90.4,0.252832031,mining
205,100.0,90.4,0.005859375,mining
206,100.0,90.5,0.097460938,mining
207,100.0,90.6,0.228710938,mining
208,100.0,90.5,0.064355469,mining
209,100.0,90.4,0.045800781,mining
210,100.0,90.8,0.005859375,mining
211,100.0,90.8,0.009765625,mining
212,100.0,90.8,0.0,mining
213,100.0,90.5,0.091601563,mining
214,100.0,90.4,0.0,mining
215,100.0,90.3,0.028808594,mining
216,100.0,90.3,0.144824219,mining
217,100.0,90.3,0.005859375,mining
218,100.0,90.4,0.0,mining
219,100.0,90.4,0.0,mining
220,100.0,90.5,0.029296875,mining
221,100.0,90.4,0.03515625,mining
222,100.0,90.3,0.140234375,mining
223,100.0,90.3,0.041015625,mining
224,100.0,90.3,0.012695313,mining
225,100.0,90.3,0.359863281,mining
226,100.0,90.4,0.115039063,mining
227,100.0,90.5,0.101074219,mining
228,100.0,90.6,0.090820313,mining
229,100.0,90.6,0.831835938,mining
230,100.0,90.6,0.356542969,mining
231,100.0,90.6,17.84423828,mining
232,100.0,90.4,22.53535156,mining
233,100.0,90.4,0.048828125,mining
234,100.0,90.4,0.389453125,mining
235,100.0,90.5,0.030078125,mining
236,100.0,90.6,0.181445313,mining
237,100.0,90.6,0.041015625,mining
238,100.0,90.7,0.029882813,mining
239,100.0,89.8,0.0,mining
240,100.0,89.9,0.0,mining
241,100.0,89.9,0.0,mining
242,100.0,89.9,0.0,mining
243,100.0,90.0,0.014160156,mining
244,100.0,89.8,0.0,mining
245,100.0,89.9,0.01171875,mining
246,100.0,90.0,0.541699219,mining
247,100.0,90.1,4.355859375,mining
248,100.0,90.2,3.106054688,mining
249,100.0,90.3,0.051953125,mining
250,100.0,90.4,0.0234375,mining
251,100.0,90.5,0.1328125,mining
252,100.0,90.5,0.033203125,mining
253,100.0,90.6,0.065234375,mining
254,100.0,90.5,0.230761719,mining
255,100.0,90.6,0.034179688,mining
256,100.0,90.5,0.564257813,mining
257,100.0,90.5,0.0,mining
258,100.0,90.5,0.0,mining
259,100.0,89.8,0.005859375,mining
260,100.0,89.9,0.041015625,mining
261,100.0,89.9,0.32890625,mining
262,100.0,89.9,0.029882813,mining
263,100.0,90.0,0.017578125,mining
264,100.0,90.0,0.01171875,mining
265,100.0,90.1,0.065234375,mining
266,100.0,90.1,0.053320313,mining
267,100.0,90.1,0.087109375,mining
268,100.0,90.1,0.069042969,mining
269,100.0,90.2,0.0,mining
270,100.0,90.2,0.029296875,mining
271,100.0,90.3,0.021484375,mining
272,100.0,90.3,0.034375,mining
273,100.0,90.3,0.047851563,mining
274,100.0,90.4,0.50234375,mining
275,100.0,90.7,12.29169922,mining
276,100.0,90.7,31.45195313,mining
277,100.0,89.9,46.93769531,mining
278,100.0,90.0,26.02148438,mining
279,100.0,90.2,26.02148438,mining
280,100.0,89.7,18.93066406,mining
281,100.0,89.2,0.017578125,mining
282,100.0,89.3,0.01171875,mining
283,100.0,89.4,0.0,mining
284,100.0,89.5,0.03515625,mining
285,100.0,89.5,0.0,mining
286,100.0,89.6,0.0,mining
287,100.0,89.6,37.32900391,mining
288,100.0,89.2,16.10839844,mining
289,100.0,89.3,0.613183594,mining
290,100.0,89.4,0.0234375,mining
291,100.0,89.0,0.0,mining
292,100.0,88.9,0.050390625,mining
293,100.0,88.9,0.564160156,mining
294,100.0,89.0,0.229492188,mining
295,100.0,89.1,0.009765625,mining
296,100.0,88.7,0.005859375,mining
297,100.0,88.8,0.0,mining
298,100.0,88.9,0.017578125,mining
299,100.0,88.8,0.0234375,mining
1,50.0,33.2,0.0,without
2,33.3,33.2,0.0,without
3,30.0,33.2,0.0,without
4,30.0,33.2,0.0,without
5,33.3,33.2,0.0,without
6,45.5,33.2,0.0,without
7,22.2,33.2,0.0,without
8,40.0,33.2,0.0,without
9,30.0,33.2,0.0,without
10,45.5,33.2,0.0,without
11,40.0,33.2,0.0,without
12,36.4,33.2,0.0,without
13,33.3,33.2,0.0,without
14,40.0,33.2,0.0,without
15,33.3,33.2,0.0,without
16,60.0,33.2,0.0,without
17,57.1,33.2,0.0,without
18,46.2,33.2,0.0,without
19,53.8,33.2,0.0,without
20,45.5,33.2,0.0,without
21,36.4,33.2,0.0,without
22,41.7,33.2,0.0,without
23,58.3,33.2,0.0,without
24,57.1,33.2,0.0,without
25,41.7,33.2,0.0,without
26,50.0,33.2,0.0,without
27,53.8,33.2,0.0,without
28,46.2,33.2,0.0,without
29,40.0,33.2,0.0,without
30,40.0,33.2,0.0,without
31,50.0,33.2,0.0,without
32,50.0,33.2,0.0,without
33,46.2,33.2,0.0,without
34,54.5,33.2,0.0,without
35,30.0,33.2,0.0,without
36,50.0,33.2,0.0,without
37,40.0,33.2,0.0,without
38,33.3,33.2,0.0,without
39,46.2,33.2,0.0,without
40,58.3,33.2,0.0,without
41,45.5,33.2,0.0,without
42,50.0,33.2,0.0,without
43,36.4,33.2,0.0,without
44,33.3,33.2,0.0,without
45,30.0,33.2,0.0,without
46,50.0,33.2,0.0,without
47,50.0,33.2,0.0,without
48,45.5,33.2,0.0,without
49,50.0,33.2,0.0,without
50,50.0,33.2,0.0,without
51,45.5,33.2,0.0,without
52,40.0,33.2,0.0,without
53,46.2,33.2,0.0,without
54,40.0,33.2,0.0,without
55,60.0,33.2,0.0,without
56,33.3,33.2,0.0,without
57,45.5,33.2,0.0,without
58,46.2,33.2,0.0,without
59,33.3,33.2,0.0,without
60,41.7,33.2,0.0,without
61,53.8,33.2,0.0,without
62,50.0,33.2,0.0,without
63,33.3,33.2,0.0,without
64,45.5,33.2,0.0,without
65,33.3,33.2,0.0,without
66,36.4,33.2,0.0,without
67,53.8,33.2,0.0,without
68,40.0,33.2,0.0,without
69,30.0,33.2,0.0,without
70,54.5,33.2,0.0,without
71,30.0,33.2,0.0,without
72,45.5,33.2,0.0,without
73,36.4,33.2,0.0,without
74,33.3,33.2,0.0,without
75,53.8,33.2,0.0,without
76,60.0,33.2,0.0,without
77,45.5,33.2,0.0,without
78,57.1,33.2,0.0,without
79,40.0,33.2,0.0,without
80,41.7,33.2,0.0,without
81,68.8,33.2,0.0,without
82,53.8,33.2,0.0,without
83,53.3,33.2,0.0,without
84,53.8,33.2,0.0,without
85,46.2,33.2,0.0,without
86,38.5,33.2,0.0,without
87,30.0,33.2,0.0,without
88,22.2,33.2,0.0,without
89,50.0,33.2,0.0,without
90,33.3,33.2,0.0,without
91,36.4,33.2,0.0,without
92,40.0,33.2,0.0,without
93,40.0,33.2,0.0,without
94,30.0,33.2,0.0,without
95,50.0,33.2,0.0,without
96,50.0,33.2,0.0,without
97,53.8,33.2,0.0,without
98,41.7,33.3,0.0,without
99,40.0,33.3,0.0,without
100,40.0,33.3,0.0,without
101,33.3,33.3,0.0,without
102,50.0,33.3,0.0,without
103,60.0,33.3,0.0,without
104,25.0,33.3,0.0,without
105,40.0,33.3,0.0,without
106,40.0,33.3,0.0,without
107,30.0,33.3,0.0,without
108,45.5,33.3,0.0,without
109,36.4,33.3,0.0,without
110,40.0,33.3,0.0,without
111,45.5,33.3,0.0,without
112,36.4,33.3,0.0,without
113,40.0,33.3,0.0,without
114,50.0,33.3,0.0,without
115,50.0,33.3,0.0,without
116,36.4,33.3,0.0,without
117,45.5,33.3,0.0,without
118,53.8,33.3,0.0,without
119,33.3,33.3,0.0,without
120,50.0,33.3,0.0,without
121,33.3,33.3,0.0,without
122,30.0,33.3,0.0,without
123,45.5,33.3,0.0,without
124,45.5,33.3,0.0,without
125,30.0,33.3,0.0,without
126,45.5,33.3,0.0,without
127,50.0,33.3,0.0,without
128,50.0,33.3,0.0,without
129,45.5,33.3,0.0,without
130,45.5,33.3,0.0,without
131,41.7,33.3,0.0,without
132,54.5,33.3,0.0,without
133,36.4,33.3,0.0,without
134,33.3,33.3,0.0,without
135,63.6,33.3,0.0,without
136,36.4,33.3,0.0,without
137,33.3,33.3,0.0,without
138,40.0,33.3,0.0,without
139,36.4,33.3,0.0,without
140,46.2,33.3,0.0,without
141,33.3,33.3,0.0,without
142,54.5,33.3,0.0,without
